measure calculation,annex,country,fishing_activity,fishing_capacity,gt_days_at_sea,no_vessels,nominal_effort,regulated area,regulated gear,specon,vessel length,year
11473544,IIB,ESP,,,7478290,64,11473544,8C-9A,3A,NONE,NONE,2006
916038,IIB,ESP,,,351525,29,916038,8C-9A,3B,NONE,NONE,2006
830548,IIB,ESP,,,407132,43,830548,8C-9A,3C,NONE,NONE,2006
742397,IIB,ESP,,,139959,27,742397,8C-9A,3T,NONE,NONE,2006
25077,IIB,ESP,,,5314,9,25077,8C-9A,BEAM,NONE,NONE,2006
4743,IIB,ESP,,,1379,2,4743,8C-9A,DEM_SEINE,NONE,NONE,2006
26099,IIB,ESP,,,3571,8,26099,8C-9A,DREDGE,NONE,NONE,2006
1054521,IIB,ESP,,,294049,52,1054521,8C-9A,GILL,NONE,NONE,2006
4758504,IIB,ESP,,,1582753,190,4758504,8C-9A,NONE,NONE,NONE,2006
140998,IIB,ESP,,,83928,19,140998,8C-9A,OTTER,NONE,NONE,2006
6594731,IIB,ESP,,,1900420,131,6594731,8C-9A,PEL_SEINE,NONE,NONE,2006
1057335,IIB,ESP,,,226064,75,1057335,8C-9A,POTS,NONE,NONE,2006
9902350,IIB,ESP,,,6567997,69,9902350,8C-9A,3A,NONE,NONE,2007
1010060,IIB,ESP,,,386867,36,1010060,8C-9A,3B,NONE,NONE,2007
522362,IIB,ESP,,,209381,50,522362,8C-9A,3C,NONE,NONE,2007
716707,IIB,ESP,,,135862,37,716707,8C-9A,3T,NONE,NONE,2007
28021,IIB,ESP,,,6176,14,28021,8C-9A,BEAM,NONE,NONE,2007
10211,IIB,ESP,,,2459,8,10211,8C-9A,DEM_SEINE,NONE,NONE,2007
30088,IIB,ESP,,,4360,9,30088,8C-9A,DREDGE,NONE,NONE,2007
749971,IIB,ESP,,,173910,59,749971,8C-9A,GILL,NONE,NONE,2007
5524720,IIB,ESP,,,1885227,218,5524720,8C-9A,NONE,NONE,NONE,2007
283856,IIB,ESP,,,198874,29,283856,8C-9A,OTTER,NONE,NONE,2007
6939641,IIB,ESP,,,2111694,107,6939641,8C-9A,PEL_SEINE,NONE,NONE,2007
1258643,IIB,ESP,,,235987,69,1258643,8C-9A,POTS,NONE,NONE,2007
7975346,IIB,ESP,,,5291347,67,7975346,8C-9A,3A,NONE,NONE,2008
1195943,IIB,ESP,,,474734,38,1195943,8C-9A,3B,NONE,NONE,2008
521613,IIB,ESP,,,199084,54,521613,8C-9A,3C,NONE,NONE,2008
917963,IIB,ESP,,,183030,37,917963,8C-9A,3T,NONE,NONE,2008
18232,IIB,ESP,,,4445,8,18232,8C-9A,BEAM,NONE,NONE,2008
17133,IIB,ESP,,,3795,6,17133,8C-9A,DEM_SEINE,NONE,NONE,2008
33876,IIB,ESP,,,5167,11,33876,8C-9A,DREDGE,NONE,NONE,2008
983774,IIB,ESP,,,237275,66,983774,8C-9A,GILL,NONE,NONE,2008
4164070,IIB,ESP,,,1393163,195,4164070,8C-9A,NONE,NONE,NONE,2008
139366,IIB,ESP,,,86391,27,139366,8C-9A,OTTER,NONE,NONE,2008
6705235,IIB,ESP,,,1981883,113,6705235,8C-9A,PEL_SEINE,NONE,NONE,2008
1088,IIB,ESP,,,868,1,1088,8C-9A,PEL_TRAWL,NONE,NONE,2008
1348552,IIB,ESP,,,248399,74,1348552,8C-9A,POTS,NONE,NONE,2008
7959428,IIB,ESP,,,5399179,63,7959428,8C-9A,3A,NONE,NONE,2009
1480125,IIB,ESP,,,520607,39,1480125,8C-9A,3B,NONE,NONE,2009
728602,IIB,ESP,,,230834,61,728602,8C-9A,3C,NONE,NONE,2009
932788,IIB,ESP,,,188348,34,932788,8C-9A,3T,NONE,NONE,2009
16275,IIB,ESP,,,3917,9,16275,8C-9A,BEAM,NONE,NONE,2009
8809,IIB,ESP,,,2740,5,8809,8C-9A,DEM_SEINE,NONE,NONE,2009
58829,IIB,ESP,,,7613,9,58829,8C-9A,DREDGE,NONE,NONE,2009
1027433,IIB,ESP,,,218624,58,1027433,8C-9A,GILL,NONE,NONE,2009
3595736,IIB,ESP,,,1110218,185,3595736,8C-9A,NONE,NONE,NONE,2009
124297,IIB,ESP,,,88702,28,124297,8C-9A,OTTER,NONE,NONE,2009
9807821,IIB,ESP,,,3061340,101,9807821,8C-9A,PEL_SEINE,NONE,NONE,2009
1321234,IIB,ESP,,,244951,73,1321234,8C-9A,POTS,NONE,NONE,2009
,IIB,ESP,4,,,1,,8C-9A,3B,NONE,NONE,2012
,IIB,ESP,5,,,1,,8C-9A,NONE,NONE,NONE,2012
42250.03,IIB,ESP,422,,7171.49,2,42250.03,8C-9A,3A,NONE,NONE,2015
393880.85,IIB,ESP,3702,,67383.64,14,393880.85,8C-9A,3B,NONE,NONE,2015
131828.15,IIB,ESP,1327,,25545.72,14,131828.15,8C-9A,3C,NONE,NONE,2015
153976.94,IIB,ESP,1823,,31862.71,11,153976.94,8C-9A,3T,NONE,NONE,2015
261396.01,IIB,ESP,2637,,42981.69,23,261396.01,8C-9A,DREDGE,NONE,NONE,2015
14999.16,IIB,ESP,148,,2659.49,2,14999.16,8C-9A,GILL,NONE,NONE,2015
246.96,IIB,ESP,2,,40.3,1,246.96,8C-9A,OTTER,NONE,NONE,2015
219878.22,IIB,ESP,2365,,43741.16,12,219878.22,8C-9A,PEL_SEINE,NONE,NONE,2015
64906.9,IIB,ESP,878,,14918.84,8,64906.9,8C-9A,POTS,NONE,NONE,2015
15860,BOB,FRA,,,1740,1,15860,8A-BOB,BEAM,NONE,O10T15M,2003
394734,BOB,FRA,,,56499,192,394734,8A-BOB,DREDGE,NONE,O10T15M,2003
2511,BOB,FRA,,,279,1,2511,8B-BOB,DREDGE,NONE,O10T15M,2003
451425,BOB,FRA,,,56443,8,451425,8A-BOB,GILL,NONE,O10T15M,2003
133162,BOB,FRA,,,21998,10,133162,8B-BOB,GILL,NONE,O10T15M,2003
36004,BOB,FRA,,,6770,8,36004,8A-BOB,LONGLINE,NONE,O10T15M,2003
43426,BOB,FRA,,,9030,10,43426,8B-BOB,LONGLINE,NONE,O10T15M,2003
108218,BOB,FRA,,,22964,51,108218,8A-BOB,NONE,NONE,O10T15M,2003
70410,BOB,FRA,,,47901,78,70410,8B-BOB,NONE,NONE,O10T15M,2003
2747410,BOB,FRA,,,410076,94,2747410,8A-BOB,OTTER,NONE,O10T15M,2003
316604,BOB,FRA,,,85507,24,316604,8B-BOB,OTTER,NONE,O10T15M,2003
83303,BOB,FRA,,,14986,6,83303,8A-BOB,PEL_SEINE,NONE,O10T15M,2003
19419,BOB,FRA,,,3925,5,19419,8B-BOB,PEL_SEINE,NONE,O10T15M,2003
192471,BOB,FRA,,,17992,4,192471,8A-BOB,PEL_TRAWL,NONE,O10T15M,2003
17269,BOB,FRA,,,2074,2,17269,8B-BOB,PEL_TRAWL,NONE,O10T15M,2003
33584,BOB,FRA,,,4103,5,33584,8A-BOB,POTS,NONE,O10T15M,2003
19846,BOB,FRA,,,3876,2,19846,8B-BOB,POTS,NONE,O10T15M,2003
