type_var,YEAR,typeTotal
benthic,1950,8.851
benthic,1951,8.547
benthic,1952,9.763
benthic,1953,11.858
benthic,1954,11.772
benthic,1955,10.083
benthic,1956,12.329
benthic,1957,10.519
benthic,1958,11.029
benthic,1959,16.224
benthic,1960,16.531
benthic,1961,17.235
benthic,1962,17.312
benthic,1963,20.026
benthic,1964,22.187
benthic,1965,22.929
benthic,1966,24.668
benthic,1967,27.748
benthic,1968,32.582
benthic,1969,35.909
benthic,1970,34.467
benthic,1971,30.011
benthic,1972,11.373
benthic,1973,12.534
benthic,1974,11.159
benthic,1975,12.021
benthic,1976,11.706
benthic,1977,25.392
benthic,1978,31.353
benthic,1979,21.221
benthic,1980,48.246
benthic,1981,38.627
benthic,1982,42.22
benthic,1983,41.244
benthic,1984,40.582
benthic,1985,39.338
benthic,1986,37.308
benthic,1987,39.113
benthic,1988,32.379
benthic,1989,21.489
benthic,1990,21.235
benthic,1991,18.828
benthic,1992,17.705
benthic,1993,16.832
benthic,1994,18.226
benthic,1995,16.597
benthic,1996,15.896
benthic,1997,20.29
benthic,1998,21.554
benthic,1999,11.724
benthic,2000,18.719
benthic,2001,18.437
benthic,2002,13.243
benthic,2003,15.975
benthic,2004,19.009
benthic,2005,18.727
benthic,2006,17.32144
benthic,2007,17.72519
benthic,2008,16.46323
benthic,2009,16.37478
benthic,2010,16.36871
benthic,2011,16.74616
benthic,2012,16.25618
benthic,2013,17.9461
benthic,2014,18.64256
benthic,2015,18.13695
benthic,2016,17.91404
benthic,2017,17.15291
benthic,2018,13.3493956
demersal,1950,78.475
demersal,1951,91.458
demersal,1952,79.245
demersal,1953,71.722
demersal,1954,74.067
demersal,1955,116.027
demersal,1956,72.17
demersal,1957,80.812
demersal,1958,82.478
demersal,1959,84.626
demersal,1960,92.504
demersal,1961,119.203
demersal,1962,116.036
demersal,1963,133.407
demersal,1964,136.302
demersal,1965,109.358
demersal,1966,121.302
demersal,1967,129.582
demersal,1968,121.461
demersal,1969,110.874
demersal,1970,128.692
demersal,1971,65.559
demersal,1972,62.069
demersal,1973,83.322
