"FisheriesGuild","Year","Metric","Value"
"benthic",1980,"F/F[MSY]",1.01875
"benthic",1981,"F/F[MSY]",1.09625
"benthic",1982,"F/F[MSY]",1.21125
"benthic",1983,"F/F[MSY]",1.45458333333333
"benthic",1984,"F/F[MSY]",1.26301721402507
"benthic",1985,"F/F[MSY]",1.31769464937331
"benthic",1986,"F/F[MSY]",1.7304470514275
"benthic",1987,"F/F[MSY]",1.8127538080755
"benthic",1988,"F/F[MSY]",2.31009338984538
"benthic",1989,"F/F[MSY]",2.30967343359526
"benthic",1990,"F/F[MSY]",2.03438170065964
"benthic",1991,"F/F[MSY]",2.02717146685354
"benthic",1992,"F/F[MSY]",2.17663961833744
"benthic",1993,"F/F[MSY]",1.86663617367695
"benthic",1994,"F/F[MSY]",1.90306215734266
"benthic",1995,"F/F[MSY]",1.77521885574545
"benthic",1996,"F/F[MSY]",1.72138290055956
"benthic",1997,"F/F[MSY]",1.63776910057969
"benthic",1998,"F/F[MSY]",1.69324041658302
"benthic",1999,"F/F[MSY]",1.69285492094607
"benthic",2000,"F/F[MSY]",1.58686220213906
"benthic",2001,"F/F[MSY]",1.61638140431256
"benthic",2002,"F/F[MSY]",1.6187910441629
"benthic",2003,"F/F[MSY]",1.53444683089621
"benthic",2004,"F/F[MSY]",1.6062599656541
"benthic",2005,"F/F[MSY]",1.67035432790484
"benthic",2006,"F/F[MSY]",1.62826937592164
"benthic",2007,"F/F[MSY]",1.48321919407657
"benthic",2008,"F/F[MSY]",1.29584065022026
"benthic",2009,"F/F[MSY]",1.23041861604269
"benthic",2010,"F/F[MSY]",1.14914271356396
"benthic",2011,"F/F[MSY]",1.18463977820414
"benthic",2012,"F/F[MSY]",1.17837907558706
"benthic",2013,"F/F[MSY]",1.19041464302772
"benthic",2014,"F/F[MSY]",1.3268731155288
"benthic",2015,"F/F[MSY]",1.29424749007029
"benthic",2016,"F/F[MSY]",1.00184752850234
"benthic",2017,"F/F[MSY]",0.847908587781094
"benthic",2018,"F/F[MSY]",0.710831724981043
"benthic",1980,"SSB/MSY~B[trigger]",2.16765398694891
"benthic",1981,"SSB/MSY~B[trigger]",2.32275346172211
"benthic",1982,"SSB/MSY~B[trigger]",2.39508992519497
"benthic",1983,"SSB/MSY~B[trigger]",2.34577431163457
"benthic",1984,"SSB/MSY~B[trigger]",1.71587319699482
"benthic",1985,"SSB/MSY~B[trigger]",1.61020845125963
"benthic",1986,"SSB/MSY~B[trigger]",1.69312556530118
"benthic",1987,"SSB/MSY~B[trigger]",1.81576660968619
"benthic",1988,"SSB/MSY~B[trigger]",1.80439742492849
"benthic",1989,"SSB/MSY~B[trigger]",1.58483493384359
"benthic",1990,"SSB/MSY~B[trigger]",1.47207206337001
"benthic",1991,"SSB/MSY~B[trigger]",1.32624850664572
"benthic",1992,"SSB/MSY~B[trigger]",1.2836287330245
"benthic",1993,"SSB/MSY~B[trigger]",1.25516902634832
"benthic",1994,"SSB/MSY~B[trigger]",1.15783388686458
"benthic",1995,"SSB/MSY~B[trigger]",1.11731333943803
"benthic",1996,"SSB/MSY~B[trigger]",1.18809009674457
"benthic",1997,"SSB/MSY~B[trigger]",1.22360820933524
"benthic",1998,"SSB/MSY~B[trigger]",1.33734230877777
"benthic",1999,"SSB/MSY~B[trigger]",1.26242251629875
"benthic",2000,"SSB/MSY~B[trigger]",1.16645019410996
"benthic",2001,"SSB/MSY~B[trigger]",1.02145810965898
"benthic",2002,"SSB/MSY~B[trigger]",0.925507443484994
"benthic",2003,"SSB/MSY~B[trigger]",0.9534751223583
"benthic",2004,"SSB/MSY~B[trigger]",0.966036325940624
"benthic",2005,"SSB/MSY~B[trigger]",0.987665322422775
"benthic",2006,"SSB/MSY~B[trigger]",1.05137357516651
