StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
ane.27.8,pelagic,NA,20670,20670,NA,NA,0.187,2017,2017,NA,101786,NA,GREY,1709856
aru.27.6b7-1012,pelagic,NA,140,36,104,NA,NA,NA,NA,NA,NA,NA,GREY,1709856
boc.27.6-8,pelagic,NA,11286,9927,1359,NA,NA,2019,2019,NA,270900,NA,GREY,1709856
bsf.27.nea,pelagic,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,GREY,1709856
hom.27.2a4a5b6a7a-ce-k8,pelagic,1.17567567567568,101682,99072,2609,0.074,0.087,2019,2019,0.74711282988893,872831,1168272,RED,1709856
hom.27.9a,pelagic,0.263636363636364,31661,31661,NA,0.11,0.029,2019,2019,5.53447513812155,1001740,181000,GREEN,1709856
mac.27.nea,pelagic,1.03478260869565,1026437,NA,NA,0.23,0.238,2019,2019,1.7248624,4312156,2500000,RED,1709856
mac.27.nea,pelagic,1.03478260869565,1026437,NA,NA,0.23,0.238,2019,2019,1.7248624,4312156,2500000,RED,1709856
mac.27.nea,pelagic,1.03478260869565,1026437,NA,NA,0.23,0.238,2019,2019,1.7248624,4312156,2500000,RED,1709856
mac.27.nea,pelagic,1.03478260869565,1026437,NA,NA,0.23,0.238,2019,2019,1.7248624,4312156,2500000,RED,1709856
pil.27.8abd,pelagic,1.5206013895215,30318,30318,NA,1.08312409244758,1.647,2018,2018,1.42287523307487,1,0.702802309545424,RED,1709856
pil.27.8c9a,pelagic,1.43333333333333,21911,21911,NA,0.12,0.172,2018,2018,0.333149613179457,148695,446331,RED,1709856
whb.27.1-91214,pelagic,1.23125,1709856,1709856,NA,0.32,0.394,2019,2019,2.47851066666667,5576649,2250000,RED,1709856
